chembl_id,smiles,Prediccion_Activo,Probabilidad_Activo
CHEMBL439743,CCCc1nc(CO)c(C(=O)OCC)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.505
CHEMBL49087,C[C@@H](N)C(=O)NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1,0.505
CHEMBL298704,CNC(=O)c1ccc(C(=O)O)c(-c2ccc3c(c2)OC[C@H](Cc2ccccc2)[C@H]3O)c1,1,0.505
CHEMBL50064,C[C@H](N)C(=O)N[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1,0.505
CHEMBL50857,CN1C(=O)CNC(=O)Cc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc1c3c2,1,0.505
CHEMBL416478,C[C@H](N)C(=O)N[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1,0.505
CHEMBL43570,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2[nH]c(C(F)(F)F)nc12,1,0.505
CHEMBL289118,COC(=O)/C(C#N)=C/c1ccc(Oc2ccccc2)c(I)c1,1,0.505
CHEMBL299219,C[C@H](N)C(=O)NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1,0.505
CHEMBL40170,COc1cc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)ccc1O,1,0.505
CHEMBL75792,O=C(O)c1cc(C(=O)O)c2cc(-c3cccc4ccccc34)ccc2n1,1,0.505
CHEMBL432910,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3ccnc3)c(SC)c21,1,0.505
CHEMBL68402,COc1ccc(C(=O)O)nc1-c1csc(-c2ccc3ccccc3c2)n1,1,0.505
CHEMBL81686,O=C(NNc1ccccc1)c1ccc2ccc(C(=O)O)c(O)c2n1,1,0.505
