chembl_id,smiles,Prediccion_Activo,Probabilidad_Activo
CHEMBL312117,O=C(O)c1cc(C(=O)O)c2cc(-c3ccc(-c4ccccc4)cc3)ccc2n1,1,0.555
CHEMBL303653,COC(=O)c1sccc1Oc1ccc(C(F)(F)F)cc1NC=C(C#N)C#N,1,0.55
CHEMBL55510,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)c(O)c1,1,0.55
CHEMBL420026,O=C(/C=C(\O)c1ccccc1)c1ccc2ccc(C(=O)O)c(O)c2n1,1,0.55
CHEMBL53821,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NCc3cncn3C2)C1=O,1,0.55
CHEMBL418264,O=C(O)c1ccc(Cl)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,1,0.55
CHEMBL35063,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,1,0.55
CHEMBL431508,O=C(O)c1ccc2ccc(/C=C/c3ccc([N+](=O)[O-])cc3)nc2c1O,1,0.55
CHEMBL18827,FC(F)(F)CCCCCOc1ccc(-c2nnn(CCCCc3nnn[nH]3)n2)cc1,1,0.55
CHEMBL23019,N#Cc1ccc(Cn2ccnc2)cc1Oc1cccc(Br)c1,1,0.545
CHEMBL22568,N#Cc1ccc(Cn2ccnc2)cc1OCCCc1ccccc1,1,0.545
CHEMBL30243,CCn1cc(C(=O)O)c(=O)c2cc(C#N)c(N3CCNCC3)cc21,1,0.545
CHEMBL39481,CC(=O)Nc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1,1,0.545
CHEMBL289791,CCC(C#N)C(=O)N[C@H](C)[C@@H](Oc1cc(Br)ccc1C#N)c1ccccc1,1,0.545
CHEMBL310321,O=C(NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc2ccc(C(=O)O)c(O)c2n1,1,0.545
CHEMBL77397,COc1cc(/C=C(\C)[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,1,0.545
CHEMBL74164,Cc1cc(C)c(Nc2nc(Nc3ccc(C#N)cc3)ncc2C#N)c(C)c1,1,0.545
CHEMBL296357,CC(C)C(C#N)C(=O)N[C@H](C)[C@@H](Oc1cc(F)ccc1C#N)c1ccccc1,1,0.545
CHEMBL45923,C[C@H]1COc2c(-c3ccc4cnccc4c3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,0.545
CHEMBL295817,CCCN(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)c1nn(C)cc1C(=O)O,1,0.545
CHEMBL45911,CCCN(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)c1nc(C)c(C(=O)O)s1,1,0.545
CHEMBL312459,N#Cc1ccc2cc1Oc1cc(Cl)cc(c1)CN1CCC(NCc3cncn3C2)C1=O,1,0.545
CHEMBL53324,N#CSCCOc1ccc(Oc2ccccc2)cc1I,1,0.545
CHEMBL417366,CCCc1nc(CO)c(C(=O)O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.545
CHEMBL22454,N#Cc1ccc(Cn2ccnc2)cc1OCCc1ccccc1,1,0.545
CHEMBL33673,CCCn1c(=O)c2nc(-c3ccc(C#N)cc3)[nH]c2n(CCC)c1=O,1,0.545
CHEMBL22828,CCCCc1ccc(C(=O)O)c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.545
CHEMBL418907,COc1cc(/C=C/[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,1,0.54
CHEMBL311096,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(Sc3ccc(C#N)c4ccccc34)[C@H](C)[C@H]12,1,0.54
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1,0.54
CHEMBL309439,COc1cc2ncc(C#N)c(NCc3ccc(OC)c(OC)c3OC)c2cc1OC,1,0.54
CHEMBL82359,O=C(Nc1ccc2ccc(C(=O)O)c(O)c2n1)c1ccccc1,1,0.54
CHEMBL267474,Cn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,1,0.54
CHEMBL25220,Cc1cc(OCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(C(=O)O)c(C)n1,1,0.54
CHEMBL277488,COc1cc2c(cc1OC)C(c1ccc(C#N)cc1)=NN(C(C)=O)C(=O)C2,1,0.54
CHEMBL30268,COc1cc2ncc(C#N)c(Nc3ccc(O)cc3)c2cc1OC,1,0.54
CHEMBL417897,CCC(C#N)C(=O)N[C@H](C)[C@@H](Oc1cc(Cl)ccc1C#N)c1ccccc1,1,0.54
CHEMBL44544,COc1cc(C#N)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)cc1OC,1,0.54
CHEMBL295654,CS(=O)(=O)c1ccc(-n2cc(C(=O)O)nc2-c2ccc(Cl)cc2)cc1,1,0.54
CHEMBL308456,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(=O)O)oc12,1,0.535
CHEMBL39958,O=C(O)c1ccc2ccc(/C=C/c3cc(O)cc(O)c3)nc2c1O,1,0.535
CHEMBL30644,N#Cc1ccccc1OCC(O)CNCCNC(=O)c1ccc2ccccc2n1,1,0.535
CHEMBL444824,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2ccc(C#N)nc12,1,0.535
CHEMBL70142,COc1cccc(O/C(=N/Nc2ccccc2C#N)C(C)=O)c1,1,0.535
CHEMBL29563,O=C1/C(=C/c2cccc(Br)c2)CCc2ccccc21,1,0.535
CHEMBL25217,CC(=O)c1cccc(Oc2cc(Cn3ccnc3)ccc2C#N)c1,1,0.535
CHEMBL37431,COc1cc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc(OC)c1O,1,0.535
CHEMBL303638,Cc1cncc(S(=O)(=O)Nc2cccc3c(C#N)c[nH]c23)c1,1,0.535
CHEMBL49410,CCCN(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)c1ncncc1C(=O)O,1,0.535
CHEMBL50092,CCc1nc(CO)c(C(=O)O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.535
CHEMBL35437,COc1ccc(C#CCOc2ccccc2C(=O)O)cc1Cc1cnc(N)nc1N,1,0.535
CHEMBL281467,C=CC(=O)Nc1cnc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,1,0.53
CHEMBL279386,COc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c(OC)c1,1,0.53
CHEMBL13972,N#Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,1,0.53
CHEMBL25550,COc1ccccc1Oc1cc(Cn2ccnc2)ccc1C#N,1,0.53
CHEMBL35094,CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(C(=O)O)cc3)nc2c1=O,1,0.53
CHEMBL11268,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1,1,0.53
CHEMBL54212,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)C(=O)NCCNCc1cncn1C2,1,0.53
CHEMBL290315,Cn1cncc1C(OCc1ccc(C#N)c(-c2cccc(C#N)c2)n1)c1ccc(C#N)cc1,1,0.53
CHEMBL52675,O=C(O)c1ccc(F)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,1,0.53
CHEMBL71518,CCCCc1nnc(O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.53
CHEMBL73044,Cc1cc(Br)cc(Cl)c1Oc1nc(N)nc(Nc2ccc(C#N)cc2)n1,1,0.53
CHEMBL82744,O=C(O)c1ccccc1C(=O)c1ccc(Oc2ccccc2)c([N+](=O)[O-])c1,1,0.53
CHEMBL24230,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1[N+](=O)[O-],1,0.525
CHEMBL316171,COc1ccc(C2=NN(CC#N)C(=O)C3CCCCC23)cc1OC,1,0.525
CHEMBL311561,N#Cc1ccc2cc1Oc1ccc(Br)c(c1)CN1CCC(NCc3cncn3C2)C1=O,1,0.525
CHEMBL45347,COc1ccc(OC)c(C#Cc2ccc(OC)c(C(=O)O)c2)c1,1,0.525
CHEMBL300186,CCCc1nc(C(=O)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.525
CHEMBL79286,CCOc1c(OC)cc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1OC,1,0.525
